LLAVE;LOCALIDAD;CLASE_ACC;GRAVEDAD;ANO_OCURRENCIA_ACC;MES;Cuenta de OBJECTID
01;USAQUEN;ATROPELLO;CON HERIDOS;2007;Enero;17
01;USAQUEN;ATROPELLO;CON HERIDOS;2007;Febrero;21
01;USAQUEN;ATROPELLO;CON HERIDOS;2007;Marzo;22
01;USAQUEN;ATROPELLO;CON HERIDOS;2007;Abril;27
01;USAQUEN;ATROPELLO;CON HERIDOS;2007;Mayo;20
01;USAQUEN;ATROPELLO;CON HERIDOS;2007;Junio;13
01;USAQUEN;ATROPELLO;CON HERIDOS;2007;Julio;22
01;USAQUEN;ATROPELLO;CON HERIDOS;2007;Agosto;20
01;USAQUEN;ATROPELLO;CON HERIDOS;2007;Septiembre;16
01;USAQUEN;ATROPELLO;CON HERIDOS;2007;Octubre;18
01;USAQUEN;ATROPELLO;CON HERIDOS;2007;Noviembre;14
01;USAQUEN;ATROPELLO;CON HERIDOS;2007;Diciembre;14
01;USAQUEN;ATROPELLO;CON HERIDOS;2008;Enero;20
01;USAQUEN;ATROPELLO;CON HERIDOS;2008;Febrero;6
01;USAQUEN;ATROPELLO;CON HERIDOS;2008;Marzo;12
01;USAQUEN;ATROPELLO;CON HERIDOS;2008;Abril;15
01;USAQUEN;ATROPELLO;CON HERIDOS;2008;Mayo;25
01;USAQUEN;ATROPELLO;CON HERIDOS;2008;Junio;15
01;USAQUEN;ATROPELLO;CON HERIDOS;2008;Julio;16
01;USAQUEN;ATROPELLO;CON HERIDOS;2008;Agosto;21
01;USAQUEN;ATROPELLO;CON HERIDOS;2008;Septiembre;23
01;USAQUEN;ATROPELLO;CON HERIDOS;2008;Octubre;15
01;USAQUEN;ATROPELLO;CON HERIDOS;2008;Noviembre;21
01;USAQUEN;ATROPELLO;CON HERIDOS;2008;Diciembre;15
01;USAQUEN;ATROPELLO;CON HERIDOS;2009;Enero;14
01;USAQUEN;ATROPELLO;CON HERIDOS;2009;Febrero;18
01;USAQUEN;ATROPELLO;CON HERIDOS;2009;Marzo;19
01;USAQUEN;ATROPELLO;CON HERIDOS;2009;Abril;18
01;USAQUEN;ATROPELLO;CON HERIDOS;2009;Mayo;15
01;USAQUEN;ATROPELLO;CON HERIDOS;2009;Junio;20
01;USAQUEN;ATROPELLO;CON HERIDOS;2009;Julio;21
01;USAQUEN;ATROPELLO;CON HERIDOS;2009;Agosto;28
01;USAQUEN;ATROPELLO;CON HERIDOS;2009;Septiembre;13
01;USAQUEN;ATROPELLO;CON HERIDOS;2009;Octubre;16
01;USAQUEN;ATROPELLO;CON HERIDOS;2009;Noviembre;21
01;USAQUEN;ATROPELLO;CON HERIDOS;2009;Diciembre;19
01;USAQUEN;ATROPELLO;CON HERIDOS;2010;Enero;9
01;USAQUEN;ATROPELLO;CON HERIDOS;2010;Febrero;23
01;USAQUEN;ATROPELLO;CON HERIDOS;2010;Marzo;19
